"table_name","column_name","data_type"
"act_esenciales","id","integer"
"act_esenciales","nom_estab","character varying"
"act_esenciales","raz_social","character varying"
"act_esenciales","codigo_act","character varying"
"act_esenciales","nombre_act","character varying"
"act_esenciales","per_ocu","character varying"
"act_esenciales","tipo_vial","character varying"
"act_esenciales","nom_vial","character varying"
"act_esenciales","tipo_v_e_1","character varying"
"act_esenciales","nom_v_e_1","character varying"
"act_esenciales","tipo_v_e_2","character varying"
"act_esenciales","nom_v_e_2","character varying"
"act_esenciales","tipo_v_e_3","character varying"
"act_esenciales","nom_v_e_3","character varying"
"act_esenciales","numero_ext","character varying"
"act_esenciales","letra_ext","character varying"
"act_esenciales","edificio","character varying"
"act_esenciales","edificio_e","character varying"
"act_esenciales","numero_int","character varying"
"act_esenciales","letra_int","character varying"
"act_esenciales","tipo_asent","character varying"
"act_esenciales","nomb_asent","character varying"
"act_esenciales","tipocencom","character varying"
"act_esenciales","nom_cencom","character varying"
"act_esenciales","num_local","character varying"
"act_esenciales","cod_postal","character varying"
"act_esenciales","cve_ent","character varying"
"act_esenciales","entidad","character varying"
"act_esenciales","cve_mun","character varying"
"act_esenciales","municipio","character varying"
"act_esenciales","cve_loc","character varying"
"act_esenciales","localidad","character varying"
"act_esenciales","ageb","character varying"
"act_esenciales","manzana","character varying"
"act_esenciales","telefono","character varying"
"act_esenciales","correoelec","character varying"
"act_esenciales","www","character varying"
"act_esenciales","tipounieco","character varying"
"act_esenciales","latitud","character varying"
"act_esenciales","longitud","character varying"
"act_esenciales","fecha_alta","character varying"
"act_esenciales","es_esencial","character varying"
